"Country","Message_Type","total_score","most_appealing_score","least_appealing_score"
"Canada","CNS tolerability comparison",-0.00273224043715847,0.0491803278688525,0.0519125683060109
"Canada","Concomitant acid-reducing agents use",-0.0573770491803279,0.0218579234972678,0.0792349726775956
"Canada","Discontinuation rate comparison",-0.00819672131147541,0.0355191256830601,0.0437158469945355
"Canada","Efficacy comparison (vs darunavir)",0.10655737704918,0.120218579234973,0.0136612021857924
"Canada","Efficacy comparison (vs efavirenz)",0.144808743169399,0.155737704918033,0.0109289617486339
"Canada","Efficacy in high baseline VL",0.207650273224044,0.215846994535519,0.00819672131147541
"Canada","Efficacy in presence of NNRTI resistance mutations",0.0573770491803279,0.0846994535519126,0.0273224043715847
"Canada","Flexible dosing",-0.23224043715847,0.00273224043715847,0.234972677595628
"Canada","Flexible prescribing",-0.0983606557377049,0.0273224043715847,0.12568306010929
"Canada","GI tolerability comparison",-0.0601092896174863,0.00819672131147541,0.0683060109289618
"Canada","Lipid effects comparison",-0.0327868852459016,0.0273224043715847,0.0601092896174863
"Canada","Lipid-lowering benefits",-0.0191256830601093,0.0437158469945355,0.0628415300546448
"Canada","Managing patients with HIV and hyperlipidemia",0.0273224043715847,0.0819672131147541,0.0546448087431694
"Canada","Resistance rate comparison",-0.0218579234972678,0.0409836065573771,0.0628415300546448
"Canada","Unique resistance profile",0.0136612021857924,0.0519125683060109,0.0382513661202186
"Canada","Use with common concomitant medications",-0.0245901639344262,0.0327868852459016,0.0573770491803279
"Mexico","CNS tolerability comparison",0.0245700245700246,0.0638820638820639,0.0393120393120393
"Mexico","Concomitant acid-reducing agents use",-0.0442260442260442,0.0171990171990172,0.0614250614250614
"Mexico","Discontinuation rate comparison",-0.0294840294840295,0.0196560196560197,0.0491400491400491
"Mexico","Efficacy comparison (vs darunavir)",0.14004914004914,0.154791154791155,0.0147420147420147
"Mexico","Efficacy comparison (vs efavirenz)",0.100737100737101,0.125307125307125,0.0245700245700246
"Mexico","Efficacy in high baseline VL",0.142506142506143,0.162162162162162,0.0196560196560197
"Mexico","Efficacy in presence of NNRTI resistance mutations",0.0221130221130221,0.0761670761670762,0.0540540540540541
"Mexico","Flexible dosing",-0.117936117936118,0.0122850122850123,0.13022113022113
"Mexico","Flexible prescribing",-0.115479115479115,0.00982800982800983,0.125307125307125
"Mexico","GI tolerability comparison",-0.117936117936118,0.0122850122850123,0.13022113022113
"Mexico","Lipid effects comparison",-0.0540540540540541,0.0221130221130221,0.0761670761670762
"Mexico","Lipid-lowering benefits",-0.0343980343980344,0.0319410319410319,0.0663390663390663
"Mexico","Managing patients with HIV and hyperlipidemia",-0.0196560196560197,0.0614250614250614,0.0810810810810811
"Mexico","Resistance rate comparison",0.0368550368550369,0.0737100737100737,0.0368550368550369
"Mexico","Unique resistance profile",0.0687960687960688,0.103194103194103,0.0343980343980344
"Mexico","Use with common concomitant medications",-0.00245700245700244,0.0540540540540541,0.0565110565110565
"USA","CNS tolerability comparison",0.0199004975124378,0.0597014925373134,0.0398009950248756
"USA","Concomitant acid-reducing agents use",-0.0721393034825871,0.0199004975124378,0.0920398009950249
"USA","Discontinuation rate comparison",-0.0149253731343284,0.0497512437810945,0.0646766169154229
"USA","Efficacy comparison (vs darunavir)",0.134328358208955,0.149253731343284,0.0149253731343284
"USA","Efficacy comparison (vs efavirenz)",0.114427860696517,0.154228855721393,0.0398009950248756
"USA","Efficacy in high baseline VL",0.099502487562189,0.106965174129353,0.00746268656716418
"USA","Efficacy in presence of NNRTI resistance mutations",-0.00497512437810946,0.0522388059701493,0.0572139303482587
"USA","Flexible dosing",-0.126865671641791,0.0323383084577114,0.159203980099502
"USA","Flexible prescribing",-0.111940298507463,0.0174129353233831,0.129353233830846
"USA","GI tolerability comparison",-0.0920398009950249,0.0124378109452736,0.104477611940299
"USA","Lipid effects comparison",0.0522388059701493,0.0895522388059701,0.0373134328358209
"USA","Lipid-lowering benefits",0,0.0472636815920398,0.0472636815920398
"USA","Managing patients with HIV and hyperlipidemia",0.0124378109452736,0.0522388059701493,0.0398009950248756
"USA","Resistance rate comparison",0,0.0422885572139303,0.0422885572139303
"USA","Unique resistance profile",0.0124378109452736,0.0572139303482587,0.0447761194029851
"USA","Use with common concomitant medications",-0.0223880597014925,0.0572139303482587,0.0796019900497512
